orig.ident	nCount_RNA	nFeature_RNA	Group	Sample	Condition
sample_01_Cell1_Group3	SCSimulation	58562	895	Group3	sample_01	Condition1
sample_01_Cell2_Group3	SCSimulation	57366	903	Group3	sample_01	Condition1
sample_01_Cell3_Group3	SCSimulation	42615	887	Group3	sample_01	Condition1
sample_01_Cell4_Group3	SCSimulation	73785	918	Group3	sample_01	Condition1
sample_01_Cell5_Group3	SCSimulation	43302	890	Group3	sample_01	Condition1
sample_01_Cell6_Group3	SCSimulation	70878	904	Group3	sample_01	Condition1
sample_01_Cell7_Group3	SCSimulation	41333	871	Group3	sample_01	Condition1
sample_01_Cell8_Group3	SCSimulation	53894	882	Group3	sample_01	Condition1
sample_01_Cell9_Group3	SCSimulation	51952	893	Group3	sample_01	Condition1
sample_01_Cell10_Group3	SCSimulation	70945	908	Group3	sample_01	Condition1
sample_01_Cell11_Group3	SCSimulation	72059	905	Group3	sample_01	Condition1
sample_01_Cell12_Group3	SCSimulation	47678	895	Group3	sample_01	Condition1
sample_01_Cell13_Group3	SCSimulation	64670	913	Group3	sample_01	Condition1
sample_02_Cell1_Group3	SCSimulation	52448	901	Group3	sample_02	Condition2
sample_02_Cell2_Group3	SCSimulation	34677	880	Group3	sample_02	Condition2
sample_02_Cell3_Group3	SCSimulation	53525	891	Group3	sample_02	Condition2
sample_02_Cell4_Group3	SCSimulation	71882	910	Group3	sample_02	Condition2
sample_02_Cell5_Group3	SCSimulation	52897	906	Group3	sample_02	Condition2
sample_02_Cell6_Group3	SCSimulation	46296	893	Group3	sample_02	Condition2
sample_02_Cell7_Group3	SCSimulation	78451	926	Group3	sample_02	Condition2
sample_02_Cell8_Group3	SCSimulation	50269	899	Group3	sample_02	Condition2
sample_02_Cell9_Group3	SCSimulation	94417	935	Group3	sample_02	Condition2
sample_02_Cell10_Group3	SCSimulation	41785	879	Group3	sample_02	Condition2
sample_02_Cell11_Group3	SCSimulation	50773	901	Group3	sample_02	Condition2
sample_02_Cell12_Group3	SCSimulation	71134	912	Group3	sample_02	Condition2
sample_02_Cell13_Group3	SCSimulation	94134	926	Group3	sample_02	Condition2
sample_03_Cell1_Group3	SCSimulation	55137	898	Group3	sample_03	Condition1
sample_03_Cell2_Group3	SCSimulation	67232	911	Group3	sample_03	Condition1
sample_03_Cell3_Group3	SCSimulation	72287	912	Group3	sample_03	Condition1
sample_03_Cell4_Group3	SCSimulation	43038	875	Group3	sample_03	Condition1
sample_03_Cell5_Group3	SCSimulation	64365	916	Group3	sample_03	Condition1
sample_03_Cell6_Group3	SCSimulation	44054	887	Group3	sample_03	Condition1
sample_03_Cell7_Group3	SCSimulation	68488	911	Group3	sample_03	Condition1
sample_03_Cell8_Group3	SCSimulation	57994	889	Group3	sample_03	Condition1
sample_03_Cell9_Group3	SCSimulation	65987	915	Group3	sample_03	Condition1
sample_03_Cell10_Group3	SCSimulation	53088	891	Group3	sample_03	Condition1
sample_03_Cell11_Group3	SCSimulation	51463	883	Group3	sample_03	Condition1
sample_03_Cell12_Group3	SCSimulation	58107	901	Group3	sample_03	Condition1
sample_03_Cell13_Group3	SCSimulation	67971	921	Group3	sample_03	Condition1
sample_04_Cell1_Group3	SCSimulation	42161	882	Group3	sample_04	Condition2
sample_04_Cell2_Group3	SCSimulation	53380	906	Group3	sample_04	Condition2
sample_04_Cell3_Group3	SCSimulation	78048	922	Group3	sample_04	Condition2
sample_04_Cell4_Group3	SCSimulation	62570	894	Group3	sample_04	Condition2
sample_04_Cell5_Group3	SCSimulation	41909	885	Group3	sample_04	Condition2
sample_04_Cell6_Group3	SCSimulation	71082	916	Group3	sample_04	Condition2
sample_04_Cell7_Group3	SCSimulation	54438	904	Group3	sample_04	Condition2
sample_04_Cell8_Group3	SCSimulation	61649	906	Group3	sample_04	Condition2
sample_04_Cell9_Group3	SCSimulation	49564	879	Group3	sample_04	Condition2
sample_04_Cell10_Group3	SCSimulation	53168	898	Group3	sample_04	Condition2
sample_04_Cell11_Group3	SCSimulation	57923	900	Group3	sample_04	Condition2
sample_04_Cell12_Group3	SCSimulation	61030	906	Group3	sample_04	Condition2
sample_04_Cell13_Group3	SCSimulation	81955	919	Group3	sample_04	Condition2
sample_05_Cell1_Group3	SCSimulation	48153	897	Group3	sample_05	Condition1
sample_05_Cell2_Group3	SCSimulation	59756	904	Group3	sample_05	Condition1
sample_05_Cell3_Group3	SCSimulation	89154	918	Group3	sample_05	Condition1
sample_05_Cell4_Group3	SCSimulation	61134	909	Group3	sample_05	Condition1
sample_05_Cell5_Group3	SCSimulation	77359	920	Group3	sample_05	Condition1
sample_05_Cell6_Group3	SCSimulation	68521	911	Group3	sample_05	Condition1
sample_05_Cell7_Group3	SCSimulation	48252	904	Group3	sample_05	Condition1
sample_05_Cell8_Group3	SCSimulation	74310	914	Group3	sample_05	Condition1
sample_05_Cell9_Group3	SCSimulation	58532	896	Group3	sample_05	Condition1
sample_05_Cell10_Group3	SCSimulation	54016	892	Group3	sample_05	Condition1
sample_05_Cell11_Group3	SCSimulation	49974	894	Group3	sample_05	Condition1
sample_05_Cell12_Group3	SCSimulation	55649	901	Group3	sample_05	Condition1
sample_05_Cell13_Group3	SCSimulation	74819	909	Group3	sample_05	Condition1
sample_06_Cell1_Group3	SCSimulation	83957	922	Group3	sample_06	Condition1
sample_06_Cell2_Group3	SCSimulation	61666	916	Group3	sample_06	Condition1
sample_06_Cell3_Group3	SCSimulation	63191	899	Group3	sample_06	Condition1
sample_06_Cell4_Group3	SCSimulation	68010	903	Group3	sample_06	Condition1
sample_06_Cell5_Group3	SCSimulation	86363	926	Group3	sample_06	Condition1
sample_06_Cell6_Group3	SCSimulation	45677	890	Group3	sample_06	Condition1
sample_06_Cell7_Group3	SCSimulation	53975	903	Group3	sample_06	Condition1
sample_06_Cell8_Group3	SCSimulation	64447	892	Group3	sample_06	Condition1
sample_06_Cell9_Group3	SCSimulation	58353	903	Group3	sample_06	Condition1
sample_06_Cell10_Group3	SCSimulation	53148	907	Group3	sample_06	Condition1
sample_06_Cell11_Group3	SCSimulation	64584	912	Group3	sample_06	Condition1
sample_06_Cell12_Group3	SCSimulation	69471	915	Group3	sample_06	Condition1
sample_06_Cell13_Group3	SCSimulation	59365	905	Group3	sample_06	Condition1
sample_07_Cell1_Group3	SCSimulation	52938	907	Group3	sample_07	Condition1
sample_07_Cell2_Group3	SCSimulation	49225	890	Group3	sample_07	Condition1
sample_07_Cell3_Group3	SCSimulation	49371	883	Group3	sample_07	Condition1
sample_07_Cell4_Group3	SCSimulation	58324	894	Group3	sample_07	Condition1
sample_07_Cell5_Group3	SCSimulation	86625	928	Group3	sample_07	Condition1
sample_07_Cell6_Group3	SCSimulation	66621	915	Group3	sample_07	Condition1
sample_07_Cell7_Group3	SCSimulation	49237	886	Group3	sample_07	Condition1
sample_07_Cell8_Group3	SCSimulation	65199	914	Group3	sample_07	Condition1
sample_07_Cell9_Group3	SCSimulation	71486	910	Group3	sample_07	Condition1
sample_07_Cell10_Group3	SCSimulation	70352	909	Group3	sample_07	Condition1
sample_07_Cell11_Group3	SCSimulation	48942	881	Group3	sample_07	Condition1
sample_07_Cell12_Group3	SCSimulation	52996	898	Group3	sample_07	Condition1
sample_07_Cell13_Group3	SCSimulation	55578	909	Group3	sample_07	Condition1
sample_08_Cell1_Group3	SCSimulation	68496	913	Group3	sample_08	Condition2
sample_08_Cell2_Group3	SCSimulation	62564	903	Group3	sample_08	Condition2
