orig.ident	nCount_RNA	nFeature_RNA	Group	Sample	Condition
sample_01_Cell1_Group4	SCSimulation	70529	913	Group4	sample_01	Condition1
sample_01_Cell2_Group4	SCSimulation	50409	893	Group4	sample_01	Condition1
sample_01_Cell3_Group4	SCSimulation	78356	918	Group4	sample_01	Condition1
sample_01_Cell4_Group4	SCSimulation	38634	883	Group4	sample_01	Condition1
sample_01_Cell5_Group4	SCSimulation	60577	920	Group4	sample_01	Condition1
sample_01_Cell6_Group4	SCSimulation	54877	900	Group4	sample_01	Condition1
sample_01_Cell7_Group4	SCSimulation	64980	902	Group4	sample_01	Condition1
sample_01_Cell8_Group4	SCSimulation	87553	923	Group4	sample_01	Condition1
sample_01_Cell9_Group4	SCSimulation	47903	894	Group4	sample_01	Condition1
sample_01_Cell10_Group4	SCSimulation	54547	895	Group4	sample_01	Condition1
sample_01_Cell11_Group4	SCSimulation	42075	884	Group4	sample_01	Condition1
sample_01_Cell12_Group4	SCSimulation	78673	914	Group4	sample_01	Condition1
sample_01_Cell13_Group4	SCSimulation	43787	881	Group4	sample_01	Condition1
sample_01_Cell14_Group4	SCSimulation	60561	900	Group4	sample_01	Condition1
sample_01_Cell15_Group4	SCSimulation	55559	910	Group4	sample_01	Condition1
sample_01_Cell16_Group4	SCSimulation	41665	873	Group4	sample_01	Condition1
sample_01_Cell17_Group4	SCSimulation	59977	904	Group4	sample_01	Condition1
sample_01_Cell18_Group4	SCSimulation	56544	908	Group4	sample_01	Condition1
sample_01_Cell19_Group4	SCSimulation	76367	927	Group4	sample_01	Condition1
sample_01_Cell20_Group4	SCSimulation	66878	910	Group4	sample_01	Condition1
sample_01_Cell21_Group4	SCSimulation	74186	912	Group4	sample_01	Condition1
sample_01_Cell22_Group4	SCSimulation	63403	909	Group4	sample_01	Condition1
sample_01_Cell23_Group4	SCSimulation	60335	910	Group4	sample_01	Condition1
sample_01_Cell24_Group4	SCSimulation	51342	887	Group4	sample_01	Condition1
sample_01_Cell25_Group4	SCSimulation	65634	906	Group4	sample_01	Condition1
sample_01_Cell26_Group4	SCSimulation	34633	884	Group4	sample_01	Condition1
sample_01_Cell27_Group4	SCSimulation	49369	887	Group4	sample_01	Condition1
sample_02_Cell1_Group4	SCSimulation	61462	912	Group4	sample_02	Condition2
sample_02_Cell2_Group4	SCSimulation	74846	917	Group4	sample_02	Condition2
sample_02_Cell3_Group4	SCSimulation	55681	911	Group4	sample_02	Condition2
sample_02_Cell4_Group4	SCSimulation	48529	898	Group4	sample_02	Condition2
sample_02_Cell5_Group4	SCSimulation	76773	931	Group4	sample_02	Condition2
sample_02_Cell6_Group4	SCSimulation	46543	888	Group4	sample_02	Condition2
sample_02_Cell7_Group4	SCSimulation	49090	911	Group4	sample_02	Condition2
sample_02_Cell8_Group4	SCSimulation	61414	910	Group4	sample_02	Condition2
sample_02_Cell9_Group4	SCSimulation	75868	923	Group4	sample_02	Condition2
sample_02_Cell10_Group4	SCSimulation	84886	929	Group4	sample_02	Condition2
sample_02_Cell11_Group4	SCSimulation	74309	913	Group4	sample_02	Condition2
sample_02_Cell12_Group4	SCSimulation	70509	923	Group4	sample_02	Condition2
sample_02_Cell13_Group4	SCSimulation	71143	916	Group4	sample_02	Condition2
sample_02_Cell14_Group4	SCSimulation	60651	908	Group4	sample_02	Condition2
sample_02_Cell15_Group4	SCSimulation	51214	893	Group4	sample_02	Condition2
sample_02_Cell16_Group4	SCSimulation	63414	912	Group4	sample_02	Condition2
sample_02_Cell17_Group4	SCSimulation	72843	923	Group4	sample_02	Condition2
sample_02_Cell18_Group4	SCSimulation	40243	891	Group4	sample_02	Condition2
sample_02_Cell19_Group4	SCSimulation	55479	897	Group4	sample_02	Condition2
sample_02_Cell20_Group4	SCSimulation	54913	900	Group4	sample_02	Condition2
sample_02_Cell21_Group4	SCSimulation	50378	902	Group4	sample_02	Condition2
sample_02_Cell22_Group4	SCSimulation	77532	927	Group4	sample_02	Condition2
sample_02_Cell23_Group4	SCSimulation	69417	919	Group4	sample_02	Condition2
sample_02_Cell24_Group4	SCSimulation	86232	925	Group4	sample_02	Condition2
sample_02_Cell25_Group4	SCSimulation	66173	919	Group4	sample_02	Condition2
sample_02_Cell26_Group4	SCSimulation	35351	884	Group4	sample_02	Condition2
sample_02_Cell27_Group4	SCSimulation	43630	887	Group4	sample_02	Condition2
sample_03_Cell1_Group4	SCSimulation	46815	890	Group4	sample_03	Condition1
sample_03_Cell2_Group4	SCSimulation	46241	906	Group4	sample_03	Condition1
sample_03_Cell3_Group4	SCSimulation	51434	896	Group4	sample_03	Condition1
sample_03_Cell4_Group4	SCSimulation	80554	920	Group4	sample_03	Condition1
sample_03_Cell5_Group4	SCSimulation	57136	909	Group4	sample_03	Condition1
sample_03_Cell6_Group4	SCSimulation	60486	900	Group4	sample_03	Condition1
sample_03_Cell7_Group4	SCSimulation	53349	903	Group4	sample_03	Condition1
sample_03_Cell8_Group4	SCSimulation	55732	898	Group4	sample_03	Condition1
sample_03_Cell9_Group4	SCSimulation	68215	918	Group4	sample_03	Condition1
sample_03_Cell10_Group4	SCSimulation	55609	895	Group4	sample_03	Condition1
sample_03_Cell11_Group4	SCSimulation	52213	891	Group4	sample_03	Condition1
sample_03_Cell12_Group4	SCSimulation	63789	918	Group4	sample_03	Condition1
sample_03_Cell13_Group4	SCSimulation	64742	919	Group4	sample_03	Condition1
sample_03_Cell14_Group4	SCSimulation	85719	913	Group4	sample_03	Condition1
sample_03_Cell15_Group4	SCSimulation	48246	888	Group4	sample_03	Condition1
